,Name,Age,Nationality,Overall,Potential,Height,Weakfoot
74,M. Benatia,31,Morocco,86,86,188,3
75,M. Özil,29,Germany,86,86,180,2
76,Fernandinho,33,Brazil,86,86,178,4
77,Iniesta,34,Spain,86,86,170,4
78,M. Škriniar,23,Slovakia,85,92,188,4
79,S. Milinković-Savić,23,Serbia,85,90,190,4
80,Marco Asensio,22,Spain,85,92,183,3
81,N. Fekir,24,France,85,89,173,3
82,Alisson,25,Brazil,85,90,190,3
83,J. Kimmich,23,Germany,85,88,175,4
84,Saúl,23,Spain,85,90,183,4
85,R. Mahrez,27,Algeria,85,85,178,4
86,D. Alaba,26,Austria,85,87,180,4
87,Koke,26,Spain,85,86,175,4
88,A. Lacazette,27,France,85,86,175,4
89,K. Manolas,27,Greece,85,87,188,2
90,N. Otamendi,30,Argentina,85,85,183,3
91,Parejo,29,Spain,85,85,183,4
92,Paulinho,29,Brazil,85,85,183,3
93,W. Szczęsny,28,Poland,85,87,196,3
94,A. Sánchez,29,Chile,85,85,170,3
95,Y. Brahimi,28,Algeria,85,85,175,3
96,J. Boateng,29,Germany,85,85,193,4
97,A. Vidal,31,Chile,85,85,180,4
98,I. Perišić,29,Croatia,85,85,185,5
99,E. Džeko,32,Bosnia Herzegovina,85,85,193,5
100,S. Khedira,31,Germany,85,85,188,4
101,Diego Costa,29,Spain,85,85,188,4
102,R. Nainggolan,30,Belgium,85,85,175,3
103,Naldo,35,Brazil,85,85,198,4
104,B. Matuidi,31,France,85,85,180,2
105,Miranda,33,Brazil,85,85,185,3
106,K. Benzema,30,France,85,85,185,4
107,Filipe Luís,32,Brazil,85,85,183,3
108,V. Kompany,32,Belgium,85,85,190,3
109,Pepe,35,Portugal,85,85,188,3
110,Z. Ibrahimović,36,Sweden,85,85,196,4
111,D. Sánchez,22,Colombia,84,88,188,3
112,J. Giménez,23,Uruguay,84,88,185,3
113,Alex Telles,25,Brazil,84,87,180,2
114,A. Laporte,24,France,84,88,188,3
115,Bruno Fernandes,23,Portugal,84,88,178,3
116,N. Süle,22,Germany,84,90,196,3
117,A. Martial,22,France,84,90,183,3
118,D. Alli,22,England,84,90,188,3
119,Fabinho,24,Brazil,84,88,188,2
120,Marquinhos,24,Brazil,84,89,183,3
121,William Carvalho,26,Portugal,84,86,188,4
122,Jorginho,26,Italy,84,87,180,3
123,F. Thauvin,25,France,84,87,178,3
124,Carvajal,26,Spain,84,87,173,3
125,M. Depay,24,Netherlands,84,89,175,3
126,H. Son,25,Korea Republic,84,85,183,5
127,A. Lopes,27,Portugal,84,86,183,2
128,S. de Vrij,26,Netherlands,84,86,188,4
129,M. Perin,25,Italy,84,89,188,3
130,J. Cuadrado,30,Colombia,84,84,178,3
131,Iago Aspas,30,Spain,84,84,175,3
132,B. Leno,26,Germany,84,87,190,4
133,N. Matić,29,Serbia,84,84,193,3
134,L. Hrádecký,28,Finland,84,84,193,3
135,Illarramendi,28,Spain,84,84,178,3
136,K. Walker,28,England,84,84,183,2
137,I. Gündoğan,27,Germany,84,84,180,4
138,José Callejón,31,Spain,84,84,178,3
139,A. Di María,30,Argentina,84,84,180,2
140,M. Mandžukić,32,Croatia,84,84,190,3
141,Willian,29,Brazil,84,84,175,4
142,Sergio Asenjo,29,Spain,84,85,188,3
143,E. Banega,30,Argentina,84,84,175,4
144,A. Witsel,29,Belgium,84,84,188,4
145,D. Payet,31,France,84,84,175,4
146,Jonas,34,Brazil,84,84,180,5
147,Sokratis,30,Greece,84,84,185,2
148,S. Ruffier,31,France,84,84,188,3
149,Falcao,32,Colombia,84,84,178,4
150,K. Schmeichel,31,Denmark,84,84,188,3
151,Raúl Albiol,32,Spain,84,84,190,3
152,A. Gómez,30,Argentina,84,84,165,4
153,A. Barzagli,37,Italy,84,84,188,3
154,Quaresma,34,Portugal,84,84,175,4
155,A. Robben,34,Netherlands,84,84,180,2
156,O. Dembélé,21,France,83,92,178,5
157,Gabriel Jesus,21,Brazil,83,92,175,3
158,Ronaldo Cabrais,26,Brazil,83,83,178,4
159,Josué Chiamulera,26,Brazil,83,83,185,3
160,Louri Beretta,26,Brazil,83,83,188,3
161,P. Kimpembe,22,France,83,89,188,3
162,N. Keïta,23,Guinea,83,88,173,4
163,C. Tolisso,23,France,83,88,180,3
164,T. Lemar,22,France,83,89,170,2
165,K. Coman,22,France,83,87,178,3
166,J. Tah,22,Germany,83,88,196,4
167,Anderson Talisca,24,Brazil,83,90,190,4
168,T. Werner,22,Germany,83,87,180,4
169,A. Rabiot,23,France,83,87,193,3
170,L. Goretzka,23,Germany,83,88,188,4
171,Q. Promes,26,Netherlands,83,84,175,4
172,H. Ziyech,25,Morocco,83,86,180,2
173,Lucas Vázquez,27,Spain,83,83,173,4
174,Y. Carrasco,24,Belgium,83,86,180,4
175,Gerard Moreno,26,Spain,83,85,180,4
176,Felipe,29,Brazil,83,83,190,3
177,M. Kovačić,24,Croatia,83,89,175,4
178,Kepa,23,Spain,83,91,185,4
179,Manu Trigueros,26,Spain,83,84,178,4
180,S. Gnabry,22,Germany,83,88,175,4
181,J. Pickford,24,England,83,88,185,4
182,S. Savić,27,Montenegro,83,86,188,3
183,J. Stones,24,England,83,87,188,4
184,Suso,24,Spain,83,86,175,3
185,J. Draxler,24,Germany,83,86,188,5
186,Felipe Anderson,25,Brazil,83,85,175,4
187,Lucas Moura,25,Brazil,83,84,175,3
188,Danilo Pereira,26,Portugal,83,86,188,3
189,Nacho Fernández,28,Spain,83,85,180,4
190,T. Horn,25,Germany,83,87,193,3
191,Allan,27,Brazil,83,83,175,3
192,F. Acerbi,30,Italy,83,83,193,3
193,Sergi Roberto,26,Spain,83,86,178,3
194,Rodrigo,27,Spain,83,84,183,3
195,Pizzi,28,Portugal,83,83,178,4
196,K. Kampl,27,Slovenia,83,83,178,4
197,Neto,28,Brazil,83,84,190,2
198,O. Baumann,28,Germany,83,84,188,1
199,I. Gueye,28,Senegal,83,83,175,3
200,H. Mkhitaryan,29,Armenia,83,83,178,5
201,Marcos Alonso,27,Spain,83,84,188,3
202,D. Subašić,33,Croatia,83,83,190,2
203,K. Glik,30,Poland,83,83,190,2
204,K. Strootman,28,Netherlands,83,83,185,3
205,B. Dost,29,Netherlands,83,83,196,3
206,Oscar,26,Brazil,83,84,178,3
207,M. Balotelli,27,Italy,83,83,188,4
208,Luiz Gustavo,30,Brazil,83,83,188,3
209,Giuliano,28,Brazil,83,83,173,3
210,David Luiz,31,Brazil,83,83,188,3
211,R. Fährmann,29,Germany,83,84,198,1
212,Juan Mata,30,Spain,83,83,170,3
213,Adán,31,Spain,83,83,190,2
214,Rui Patrício,30,Portugal,83,83,190,2
215,Y. Sommer,29,Switzerland,83,84,183,4
216,Javi Martínez,29,Spain,83,83,193,3
217,L. Bender,29,Germany,83,83,185,3
218,Lucas Leiva,31,Brazil,83,83,178,3
219,S. Mandanda,33,France,83,83,185,3
220,Cesc Fàbregas,31,Spain,83,83,178,3
221,M. Dembélé,30,Belgium,83,83,185,2
222,F. Ribéry,35,France,83,83,170,4
223,R. Jarstein,33,Norway,83,83,190,4
224,D. De Rossi,34,Italy,83,83,183,4
225,Pepe Reina,35,Spain,83,83,188,3
226,J. Pavlenka,26,Czech Republic,82,85,196,3
227,M. de Ligt,18,Netherlands,82,91,188,4
228,Rodri,22,Spain,82,87,190,3
229,Arthur,21,Brazil,82,90,170,3
230,G. Donnarumma,19,Italy,82,93,196,3
231,Rosberto Dourado,30,Brazil,82,82,175,4
232,Juiano Mestres,34,Brazil,82,82,180,3
233,Raphaelito Anjos,30,Brazil,82,82,190,2
234,Gelson Martins,23,Portugal,82,87,173,3
235,Gonçalo Guedes,21,Portugal,82,86,178,3
236,L. Torreira,22,Uruguay,82,87,168,3
237,Malcom,21,Brazil,82,89,173,4
238,Pau López,23,Spain,82,87,188,3
239,L. Hernández,22,France,82,88,183,3
240,C. Lenglet,23,France,82,88,185,4
241,A. Kramarić,27,Croatia,82,83,178,4
242,A. Robertson,24,Scotland,82,87,178,2
243,Dani García,28,Spain,82,83,180,3
244,F. Bernardeschi,24,Italy,82,87,185,3
245,J. Brandt,22,Germany,82,88,185,4
246,D. Rugani,23,Italy,82,86,190,3
247,Samu Castillejo,23,Spain,82,86,183,2
248,João Cancelo,24,Portugal,82,88,183,3
249,A. Romagnoli,23,Italy,82,89,188,3
250,T. Partey,25,Ghana,82,88,185,3
251,Fred,25,Brazil,82,84,170,4
252,J. Vardy,31,England,82,82,178,3
253,A. Belotti,24,Italy,82,87,180,5
254,E. Forsberg,26,Sweden,82,83,178,4
255,J. Lingard,25,England,82,83,175,3
256,F. Vázquez,29,Argentina,82,82,185,3
257,E. Višća,28,Bosnia Herzegovina,82,82,173,4
258,A. Rüdiger,25,Germany,82,84,190,3
259,A. Florenzi,27,Italy,82,83,173,3
260,H. Maguire,25,England,82,85,193,3
261,T. Meunier,26,Belgium,82,83,190,4
262,S. Sané,27,Senegal,82,82,196,3
263,G. Kondogbia,25,Central African Rep.,82,85,188,2
264,Rafinha,25,Brazil,82,87,175,4
265,Gabriel Paulista,27,Brazil,82,83,188,2
266,Morata,25,Spain,82,85,188,4
267,J. Cillessen,29,Netherlands,82,84,185,3
268,W. Ben Yedder,27,France,82,82,170,5
269,C. Bakambu,27,DR Congo,82,83,183,4
270,Pablo Sarabia,26,Spain,82,83,175,4
271,W. Zaha,25,Ivory Coast,82,85,180,3
272,Luis Alberto,25,Spain,82,85,183,3
273,Jonathan Viera,28,Spain,82,82,170,4
274,Bartra,27,Spain,82,83,183,3
275,S. Coates,27,Uruguay,82,83,196,3
276,Willian José,26,Brazil,82,83,188,4
277,Mário Fernandes,27,Russia,82,82,188,3
278,Víctor Ruiz,29,Spain,82,83,185,2
279,T. Delaney,26,Denmark,82,83,183,4
280,K. Casteels,26,Belgium,82,85,198,2
281,M. Götze,26,Germany,82,85,175,4
282,S. Mustafi,26,Germany,82,84,183,3
283,J. Pastore,29,Argentina,82,82,188,4
284,Pedro,30,Spain,82,82,170,5
285,G. Bonaventura,28,Italy,82,82,180,3
286,R. Bürki,27,Switzerland,82,85,188,2
287,Taison,30,Brazil,82,82,173,3
288,S. Nzonzi,29,France,82,82,196,3
289,Marlos,30,Ukraine,82,82,175,4
290,A. Ramsey,27,Wales,82,83,183,3
291,K. Trippier,27,England,82,82,178,4
292,A. Kolarov,32,Serbia,82,82,188,3
293,G. Sigurðsson,28,Iceland,82,82,185,5
294,S. Giovinco,31,Italy,82,82,163,4
295,M. Arnautović,29,Austria,82,82,193,4
296,N. Gaitán,30,Argentina,82,82,173,2
297,J. Henderson,28,England,82,82,183,3
298,M. Kruse,30,Germany,82,82,180,4
299,M. Parolo,33,Italy,82,82,183,4
300,L. Fejsa,29,Serbia,82,82,183,3
301,A. Rami,32,France,82,82,190,3
302,V. Ćorluka,32,Croatia,82,82,193,3
303,G. Wijnaldum,27,Netherlands,82,82,175,3
304,F. Fazio,31,Argentina,82,82,196,2
305,O. Giroud,31,France,82,82,193,3
306,Marcano,31,Spain,82,82,188,3
307,A. Guardado,31,Mexico,82,82,170,2
308,E. Garay,31,Argentina,82,82,188,3
309,Jardel,32,Brazil,82,82,193,2
310,S. Sirigu,31,Italy,82,82,193,2
311,E. Viviano,32,Italy,82,82,196,2
312,L. Koscielny,32,France,82,82,185,3
313,A. Consigli,31,Italy,82,82,188,3
314,L. Biglia,32,Argentina,82,82,178,4
315,Dani Alves,35,Brazil,82,82,173,3
316,David Villa,36,Spain,82,82,175,5
317,Aduriz,37,Spain,82,82,183,3
318,P. Čech,36,Czech Republic,82,82,196,3
319,Casillas,37,Spain,82,82,185,2
320,M. Rashford,20,England,81,89,185,4
321,Laure Santeiro,30,Brazil,81,81,170,5
322,L. Bailey,20,Jamaica,81,89,178,4
323,M. Akanji,22,Switzerland,81,87,188,3
324,F. de Jong,21,Netherlands,81,89,180,3
325,Nélson Semedo,24,Portugal,81,86,178,3
326,Pablo Fornals,22,Spain,81,86,178,3
327,Fabián,22,Spain,81,89,188,4
328,E. Bailly,24,Ivory Coast,81,87,185,3
329,Dani Ceballos,21,Spain,81,88,178,3
330,H. Lozano,22,Mexico,81,86,175,4
331,Morales,30,Spain,81,81,180,4
332,J. Seri,26,Ivory Coast,81,82,170,4
333,M. Politano,24,Italy,81,84,170,4
334,M. Brozović,25,Croatia,81,84,180,4
335,Williams,24,Spain,81,87,185,3
336,A. Correa,23,Argentina,81,87,170,4
337,A. Christensen,22,Denmark,81,88,188,3
338,João Mário,25,Portugal,81,84,178,4
339,T. Strakosha,23,Albania,81,86,193,2
340,E. Hysaj,24,Albania,81,86,183,3
341,P. Zieliński,24,Poland,81,88,180,5
342,Ricardo Pereira,24,Portugal,81,85,175,4
343,Grimaldo,22,Spain,81,87,170,2
344,R. Guerreiro,24,Portugal,81,86,170,3
345,A. Doucouré,25,France,81,85,183,3
346,J. Martínez,25,Venezuela,81,84,170,4
347,C. Bacca,31,Colombia,81,81,180,2
348,A. Plea,25,France,81,83,180,3
349,B. Davies,25,Wales,81,84,183,3
350,M. Nastasić,25,Serbia,81,84,188,2
351,A. Milik,24,Poland,81,88,185,3
352,M. Sabitzer,24,Austria,81,84,178,4
353,B. Mendy,23,France,81,86,185,3
354,C. Kramer,27,Germany,81,82,190,3
355,S. Vrsaljko,26,Croatia,81,84,180,3
356,T. Hazard,25,Belgium,81,83,175,3
357,K. Bellarabi,28,Germany,81,81,183,3
358,S. Zaza,27,Italy,81,82,185,3
359,F. Ghoulam,27,Algeria,81,82,183,4
360,B. Lecomte,27,France,81,84,185,3
361,J. Iličić,30,Slovenia,81,81,190,3
362,K. Volland,25,Germany,81,83,178,3
363,Paco Alcácer,24,Spain,81,85,175,4
364,Vitolo,28,Spain,81,81,185,4
365,G. Xhaka,25,Switzerland,81,84,185,2
366,D. Tadić,29,Serbia,81,81,180,2
367,C. Aránguiz,29,Chile,81,81,170,4
368,S. Verdi,25,Italy,81,81,170,5
369,D. Lovren,28,Croatia,81,82,188,4
370,G. Medel,30,Chile,81,81,170,4
371,X. Shaqiri,26,Switzerland,81,81,170,4
372,J. Corona,25,Mexico,81,83,173,5
373,A. Areola,25,France,81,85,196,3
374,K. Vogt,26,Germany,81,82,193,3
375,Ander Herrera,28,Spain,81,81,183,4
376,E. Salvio,27,Argentina,81,81,173,4
377,S. El Shaarawy,25,Italy,81,82,178,3
378,C. Smalling,28,England,81,82,193,3
379,Hulk,31,Brazil,81,81,180,3
380,S. Kagawa,29,Japan,81,81,175,4
381,M. Lanzini,25,Argentina,81,85,168,3
382,F. Smolov,28,Russia,81,81,188,4
383,L. Stindl,29,Germany,81,81,180,4
384,O. Toprak,28,Turkey,81,82,185,4
385,D. Perotti,29,Argentina,81,81,178,4
386,F. Muslera,32,Uruguay,81,81,190,2
387,B. Höwedes,30,Germany,81,81,188,3
388,S. Kjær,29,Denmark,81,81,188,3
389,S. Bender,29,Germany,81,81,185,4
390,M. Valbuena,33,France,81,81,168,3
391,Pedro León,31,Spain,81,81,183,3
392,K. Boateng,31,Ghana,81,81,185,4
393,L. Piszczek,33,Poland,81,81,183,4
394,A. Candreva,31,Italy,81,81,180,4
395,D. Wass,29,Denmark,81,81,180,3
396,E. Lamela,26,Argentina,81,82,183,2
397,D. Rose,27,England,81,81,175,3
398,C. Vela,29,Mexico,81,81,178,2
399,Renato Augusto,30,Brazil,81,81,185,4
400,A. Valencia,32,Ecuador,81,81,180,2
401,L. Fabiański,33,Poland,81,81,190,2
402,João Moutinho,31,Portugal,81,81,170,4
403,Borja Valero,33,Spain,81,81,175,4
404,F. Quagliarella,35,Italy,81,81,180,4
405,B. Gomis,32,France,81,81,183,3
406,Manuel Fernandes,32,Portugal,81,81,175,4
407,H. Herrera,28,Mexico,81,81,183,4
408,Raffael,33,Brazil,81,81,175,4
409,Nani,31,Portugal,81,81,178,5
410,J. Milner,32,England,81,81,175,4
411,J. Mathieu,34,France,81,81,188,2
412,Joaquín,36,Spain,81,81,178,3
413,M. Gómez,21,Uruguay,80,85,185,3
414,K. Havertz,19,Germany,80,89,188,5
415,T. Ndombele,21,France,80,89,180,3
416,H. Aouar,20,France,80,90,175,4
417,Carlos Soler,21,Spain,80,87,180,4
418,Odriozola,22,Spain,80,88,175,3
419,M. Almirón,24,Paraguay,80,84,175,2
420,Welington Dano,30,Brazil,80,80,178,4
421,Everton Andrão,34,Brazil,80,80,178,4
422,Oyarzabal,21,Spain,80,87,180,3
423,F. Balbuena,26,Paraguay,80,83,188,3
424,M. Marega,27,Mali,80,80,185,3
425,B. Pavard,22,France,80,86,185,3
426,W. Ndidi,21,Nigeria,80,85,183,4
427,A. Onana,22,Cameroon,80,85,188,3
428,G. Lo Celso,22,Argentina,80,86,175,3
429,M. Acuña,26,Argentina,80,80,173,3
430,Rúben Neves,21,Portugal,80,87,180,3
431,Mariano,24,Dominican Republic,80,85,180,4
432,Raúl,28,Brazil,80,80,188,3
433,M. Caldara,24,Italy,80,86,188,3
434,M. Vecino,26,Uruguay,80,81,188,3
435,T. Bakayoko,23,France,80,85,188,3
436,M. Dahoud,22,Germany,80,86,178,4
437,Rafa,25,Portugal,80,83,173,4
438,K. Baldé,23,Senegal,80,85,180,4
439,G. Rulli,26,Argentina,80,85,188,3
440,F. Armani,31,Argentina,80,80,188,2
441,Rony Lopes,22,Portugal,80,85,175,3
442,Santi Mina,22,Spain,80,85,180,4
443,K. Demirbay,24,Germany,80,84,183,4
444,Gayà,23,Spain,80,85,173,3
445,André Gomes,24,Portugal,80,85,188,4
446,N. Tagliafico,25,Argentina,80,82,170,2
447,M. Sanson,23,France,80,85,180,4
448,Pacheco,26,Spain,80,83,185,2
449,E. Can,24,Germany,80,85,183,4
450,H. Çalhanoğlu,24,Turkey,80,84,178,4
451,M. Ginter,24,Germany,80,82,188,3
452,M. Keane,25,England,80,83,190,3
453,L. Paredes,24,Argentina,80,85,180,4
454,T. Stepanenko,28,Ukraine,80,80,180,3
455,L. Shaw,22,England,80,85,180,2
456,Z. Feddal,28,Morocco,80,80,190,2
457,S. Haller,24,France,80,83,190,2
458,Bernard,25,Brazil,80,81,165,4
459,T. Inui,30,Japan,80,80,170,4
460,Portu,26,Spain,80,81,178,4
461,M. Batshuayi,24,Belgium,80,84,185,5
462,E. Zahavi,30,Israel,80,80,183,4
463,T. Vaclík,29,Czech Republic,80,81,188,3
464,N. Pope,26,England,80,83,201,3
465,Héctor Bellerín,23,Spain,80,85,178,3
466,P. Kadeřábek,26,Czech Republic,80,81,183,2
467,J. Butland,25,England,80,85,196,3
468,J. Vestergaard,25,Denmark,80,81,198,4
469,J. Tarkowski,25,England,80,83,193,4
470,Deulofeu,24,Spain,80,82,178,4
471,E. Dier,24,England,80,84,188,3
472,J. Murillo,26,Colombia,80,84,183,2
473,M. Badelj,29,Croatia,80,80,185,4
474,Ismaily,28,Brazil,80,80,178,2
475,N. Schulz,25,Germany,80,81,180,2
476,L. Digne,24,France,80,84,178,3
477,M. Uth,26,Germany,80,81,185,3
478,Cristian Tello,26,Spain,80,80,178,4
479,D. Vida,29,Croatia,80,80,183,3
480,L. Muriel,27,Colombia,80,81,178,4
481,V. Aboubakar,26,Cameroon,80,82,183,3
482,A. Oxlade-Chamberlain,24,England,80,85,175,4
483,S. Aurier,25,Ivory Coast,80,83,175,3
484,J. Matip,26,Cameroon,80,82,193,2
485,Y. Rakitskyi,28,Ukraine,80,80,185,3
486,Sergi Enrich,28,Spain,80,80,180,4
487,A. Yarmolenko,28,Ukraine,80,80,190,2
488,Hugo Mallo,27,Spain,80,81,175,3
489,André Almeida,27,Portugal,80,80,185,3
490,D. Didavi,28,Germany,80,80,180,3
491,R. Rodríguez,25,Switzerland,80,83,180,3
492,R. Pereyra,27,Argentina,80,80,183,4
493,Mario Gaspar,27,Spain,80,80,183,3
494,Maicon,29,Brazil,80,80,190,3
495,D. Blind,28,Netherlands,80,80,180,4
496,J. Zoet,27,Netherlands,80,83,188,4
497,A. Ljajić,26,Serbia,80,81,183,4
498,Canales,27,Spain,80,80,180,3
499,Iago Falqué,28,Spain,80,80,175,3
500,L. de Jong,27,Netherlands,80,80,188,3
501,Guaita,31,Spain,80,80,190,3
502,Muniain,25,Spain,80,83,170,3
503,Susaeta,30,Spain,80,80,178,3
504,S. Rudy,28,Germany,80,80,178,3
505,K. Trapp,27,Germany,80,81,188,4
506,V. Wanyama,27,Kenya,80,82,183,3
507,N. Nkoulou,28,Cameroon,80,80,183,3
508,R. Boudebouz,28,Algeria,80,80,178,4
509,Camacho,28,Spain,80,81,183,3
510,S. Ulreich,29,Germany,80,80,193,2
511,M. Musacchio,27,Argentina,80,80,180,3
512,C. Stuani,31,Uruguay,80,80,185,3
513,P. Gulácsi,28,Hungary,80,80,193,2
514,Bruno,34,Spain,80,80,183,3
515,F. Delph,28,England,80,80,175,3
516,A. Lallana,30,England,80,80,178,5
517,Marcelo,31,Brazil,80,80,190,2
518,S. Coleman,29,Republic of Ireland,80,80,178,3
519,Alexandre Pato,28,Brazil,80,80,180,3
520,Antunes,31,Portugal,80,80,175,3
521,Nacho Monreal,32,Spain,80,80,178,3
522,Beñat,31,Spain,80,80,178,3
523,A. Fernández,32,Argentina,80,80,178,3
524,K. Gameiro,31,France,80,80,173,3
525,I. Piatti,33,Argentina,80,80,180,4
526,V. Birsa,31,Slovenia,80,80,183,4
527,S. Romero,31,Argentina,80,80,193,3
528,D. Criscito,31,Italy,80,80,183,3
529,D. Valeri,32,Argentina,80,80,178,3
530,D. Sturridge,28,England,80,80,180,2
531,Raúl García,31,Spain,80,80,183,3
532,S. Defour,30,Belgium,80,80,175,3
533,M. Škrtel,33,Slovakia,80,80,190,2
534,S. Radu,31,Romania,80,80,183,3
535,G. Cahill,32,England,80,80,193,3
536,L. Diarra,33,France,80,80,175,3
537,L. Perrin,32,France,80,80,180,3
538,Dante,34,Brazil,80,80,188,4
539,A. Granqvist,33,Sweden,80,80,193,4
540,A. Gignac,32,France,80,80,188,3
541,M. Gómez,32,Germany,80,80,188,4
542,I. Akinfeev,32,Russia,80,80,185,3
543,I. Denisov,34,Russia,80,80,175,3
544,Juanfran,33,Spain,80,80,180,3
545,Diego López,36,Spain,80,80,196,3
546,Santi Cazorla,33,Spain,80,80,168,5
547,Jesús Navas,32,Spain,80,80,170,2
548,J. Mascherano,34,Argentina,80,80,175,3
549,A. Mirante,34,Italy,80,80,193,2
550,D. Srna,36,Croatia,80,80,178,4
551,B. Schweinsteiger,33,Germany,80,80,183,3
552,Moyá,34,Spain,80,80,188,2
553,W. Rooney,32,England,80,80,175,4
554,Fernando Torres,34,Spain,80,80,185,4
555,S. Sorrentino,39,Italy,80,80,185,3
556,V. Tsygankov,20,Ukraine,79,86,178,4
557,Rúben Dias,21,Portugal,79,85,185,4
558,David Neres,21,Brazil,79,86,175,3
559,Raphinha,21,Brazil,79,86,175,3
560,A. Harit,21,Morocco,79,86,180,4
561,Richarlison,21,Brazil,79,86,180,5
562,L. Martínez,20,Argentina,79,86,175,4
563,F. Kessié,21,Ivory Coast,79,88,183,4
564,Luimo Boas Santos,30,Brazil,79,79,175,4
565,Gabri Prestão,26,Brazil,79,79,185,3
566,Melvin Parrela,30,Brazil,79,79,188,3
567,Antônio Chiamuloira,30,Brazil,79,79,183,3
568,Maikel Catarino,34,Brazil,79,79,178,3
569,A. Lunev,26,Russia,79,81,188,3
570,André Silva,22,Portugal,79,87,185,3
571,C. Pulisic,19,United States,79,87,178,4
572,M. Dmitrović,26,Serbia,79,80,193,2
573,L. Tousart,21,France,79,84,185,3
574,Marcos Llorente,23,Spain,79,87,183,3
575,B. Verbič,24,Slovenia,79,81,178,3
576,S. Bergwijn,20,Netherlands,79,86,178,2
577,A. Diallo,22,France,79,86,185,3
578,A. Golovin,22,Russia,79,85,180,4
579,M. Campaña,29,Uruguay,79,80,185,3
580,C. Pavón,22,Argentina,79,85,175,3
581,K. Toko-Ekambi,25,Cameroon,79,80,185,4
582,Granell,29,Spain,79,79,175,4
583,F. Cervi,24,Argentina,79,84,165,3
584,J. Weigl,22,Germany,79,84,185,3
585,V. Lindelöf,23,Sweden,79,85,188,3
586,A. Rebić,24,Croatia,79,82,185,3
587,A. Sanabria,22,Paraguay,79,85,180,4
