,Name,Age,Club,Overall,Potential,Height,Nationality
79,S. Milinković-Savić,23,Lazio,85,90,1.905,Serbia
80,Marco Asensio,22,Real Madrid,85,92,1.8288,Spain
81,N. Fekir,24,Olympique Lyonnais,85,89,1.7272,France
82,Alisson,25,Liverpool,85,90,1.905,Brazil
83,J. Kimmich,23,FC Bayern München,85,88,1.7526,Germany
84,Saúl,23,Atlético Madrid,85,90,1.8288,Spain
85,R. Mahrez,27,Manchester City,85,85,1.778,Algeria
86,D. Alaba,26,FC Bayern München,85,87,1.8034,Austria
87,Koke,26,Atlético Madrid,85,86,1.7526,Spain
88,A. Lacazette,27,Arsenal,85,86,1.7526,France
89,K. Manolas,27,Roma,85,87,1.8796,Greece
90,N. Otamendi,30,Manchester City,85,85,1.8288,Argentina
91,Parejo,29,Valencia CF,85,85,1.8288,Spain
92,Paulinho,29,Guangzhou Evergrande Taobao FC,85,85,1.8288,Brazil
93,W. Szczęsny,28,Juventus,85,87,1.9558,Poland
94,A. Sánchez,29,Manchester United,85,85,1.7018,Chile
95,Y. Brahimi,28,FC Porto,85,85,1.7526,Algeria
96,J. Boateng,29,FC Bayern München,85,85,1.9304,Germany
97,A. Vidal,31,FC Barcelona,85,85,1.8034,Chile
98,I. Perišić,29,Inter,85,85,1.8542,Croatia
99,E. Džeko,32,Roma,85,85,1.9304,Bosnia Herzegovina
100,S. Khedira,31,Juventus,85,85,1.8796,Germany
101,Diego Costa,29,Atlético Madrid,85,85,1.8796,Spain
102,R. Nainggolan,30,Inter,85,85,1.7526,Belgium
103,Naldo,35,FC Schalke 04,85,85,1.9812,Brazil
104,B. Matuidi,31,Juventus,85,85,1.8034,France
105,Miranda,33,Inter,85,85,1.8542,Brazil
106,K. Benzema,30,Real Madrid,85,85,1.8542,France
107,Filipe Luís,32,Atlético Madrid,85,85,1.8288,Brazil
108,V. Kompany,32,Manchester City,85,85,1.905,Belgium
109,Pepe,35,Beşiktaş JK,85,85,1.8796,Portugal
110,Z. Ibrahimović,36,LA Galaxy,85,85,1.9558,Sweden
111,D. Sánchez,22,Tottenham Hotspur,84,88,1.8796,Colombia
112,J. Giménez,23,Atlético Madrid,84,88,1.8542,Uruguay
113,Alex Telles,25,FC Porto,84,87,1.8034,Brazil
114,A. Laporte,24,Manchester City,84,88,1.8796,France
115,Bruno Fernandes,23,Sporting CP,84,88,1.778,Portugal
116,N. Süle,22,FC Bayern München,84,90,1.9558,Germany
117,A. Martial,22,Manchester United,84,90,1.8288,France
118,D. Alli,22,Tottenham Hotspur,84,90,1.8796,England
119,Fabinho,24,Liverpool,84,88,1.8796,Brazil
120,Marquinhos,24,Paris Saint-Germain,84,89,1.8288,Brazil
121,William Carvalho,26,Real Betis,84,86,1.8796,Portugal
122,Jorginho,26,Chelsea,84,87,1.8034,Italy
123,F. Thauvin,25,Olympique de Marseille,84,87,1.778,France
124,Carvajal,26,Real Madrid,84,87,1.7272,Spain
125,M. Depay,24,Olympique Lyonnais,84,89,1.7526,Netherlands
126,H. Son,25,Tottenham Hotspur,84,85,1.8288,Korea Republic
127,A. Lopes,27,Olympique Lyonnais,84,86,1.8288,Portugal
128,S. de Vrij,26,Inter,84,86,1.8796,Netherlands
129,M. Perin,25,Juventus,84,89,1.8796,Italy
130,J. Cuadrado,30,Juventus,84,84,1.778,Colombia
131,Iago Aspas,30,RC Celta,84,84,1.7526,Spain
132,B. Leno,26,Arsenal,84,87,1.905,Germany
133,N. Matić,29,Manchester United,84,84,1.9304,Serbia
134,L. Hrádecký,28,Bayer 04 Leverkusen,84,84,1.9304,Finland
135,Illarramendi,28,Real Sociedad,84,84,1.778,Spain
136,K. Walker,28,Manchester City,84,84,1.8288,England
137,I. Gündoğan,27,Manchester City,84,84,1.8034,Germany
138,José Callejón,31,Napoli,84,84,1.778,Spain
139,A. Di María,30,Paris Saint-Germain,84,84,1.8034,Argentina
140,M. Mandžukić,32,Juventus,84,84,1.905,Croatia
141,Willian,29,Chelsea,84,84,1.7526,Brazil
142,Sergio Asenjo,29,Villarreal CF,84,85,1.8796,Spain
143,E. Banega,30,Sevilla FC,84,84,1.7526,Argentina
144,A. Witsel,29,Borussia Dortmund,84,84,1.8796,Belgium
145,D. Payet,31,Olympique de Marseille,84,84,1.7526,France
146,Jonas,34,SL Benfica,84,84,1.8034,Brazil
147,Sokratis,30,Arsenal,84,84,1.8542,Greece
148,S. Ruffier,31,AS Saint-Étienne,84,84,1.8796,France
149,Falcao,32,AS Monaco,84,84,1.778,Colombia
150,K. Schmeichel,31,Leicester City,84,84,1.8796,Denmark
151,Raúl Albiol,32,Napoli,84,84,1.905,Spain
152,A. Gómez,30,Atalanta,84,84,1.651,Argentina
153,A. Barzagli,37,Juventus,84,84,1.8796,Italy
154,Quaresma,34,Beşiktaş JK,84,84,1.7526,Portugal
155,A. Robben,34,FC Bayern München,84,84,1.8034,Netherlands
156,O. Dembélé,21,FC Barcelona,83,92,1.778,France
157,Gabriel Jesus,21,Manchester City,83,92,1.7526,Brazil
158,Ronaldo Cabrais,26,Grêmio,83,83,1.778,Brazil
159,Josué Chiamulera,26,Grêmio,83,83,1.8542,Brazil
160,Louri Beretta,26,Atlético Mineiro,83,83,1.8796,Brazil
161,P. Kimpembe,22,Paris Saint-Germain,83,89,1.8796,France
162,N. Keïta,23,Liverpool,83,88,1.7272,Guinea
163,C. Tolisso,23,FC Bayern München,83,88,1.8034,France
164,T. Lemar,22,Atlético Madrid,83,89,1.7018,France
165,K. Coman,22,FC Bayern München,83,87,1.778,France
166,J. Tah,22,Bayer 04 Leverkusen,83,88,1.9558,Germany
167,Anderson Talisca,24,Guangzhou Evergrande Taobao FC,83,90,1.905,Brazil
168,T. Werner,22,RB Leipzig,83,87,1.8034,Germany
169,A. Rabiot,23,Paris Saint-Germain,83,87,1.9304,France
170,L. Goretzka,23,FC Bayern München,83,88,1.8796,Germany
171,Q. Promes,26,Sevilla FC,83,84,1.7526,Netherlands
172,H. Ziyech,25,Ajax,83,86,1.8034,Morocco
173,Lucas Vázquez,27,Real Madrid,83,83,1.7272,Spain
174,Y. Carrasco,24,Dalian YiFang FC,83,86,1.8034,Belgium
175,Gerard Moreno,26,Villarreal CF,83,85,1.8034,Spain
176,Felipe,29,FC Porto,83,83,1.905,Brazil
177,M. Kovačić,24,Chelsea,83,89,1.7526,Croatia
178,Kepa,23,Chelsea,83,91,1.8542,Spain
179,Manu Trigueros,26,Villarreal CF,83,84,1.778,Spain
180,S. Gnabry,22,FC Bayern München,83,88,1.7526,Germany
181,J. Pickford,24,Everton,83,88,1.8542,England
182,S. Savić,27,Atlético Madrid,83,86,1.8796,Montenegro
183,J. Stones,24,Manchester City,83,87,1.8796,England
184,Suso,24,Milan,83,86,1.7526,Spain
185,J. Draxler,24,Paris Saint-Germain,83,86,1.8796,Germany
186,Felipe Anderson,25,West Ham United,83,85,1.7526,Brazil
187,Lucas Moura,25,Tottenham Hotspur,83,84,1.7526,Brazil
188,Danilo Pereira,26,FC Porto,83,86,1.8796,Portugal
189,Nacho Fernández,28,Real Madrid,83,85,1.8034,Spain
190,T. Horn,25,1. FC Köln,83,87,1.9304,Germany
191,Allan,27,Napoli,83,83,1.7526,Brazil
192,F. Acerbi,30,Lazio,83,83,1.9304,Italy
193,Sergi Roberto,26,FC Barcelona,83,86,1.778,Spain
194,Rodrigo,27,Valencia CF,83,84,1.8288,Spain
195,Pizzi,28,SL Benfica,83,83,1.778,Portugal
196,K. Kampl,27,RB Leipzig,83,83,1.778,Slovenia
197,Neto,28,Valencia CF,83,84,1.905,Brazil
198,O. Baumann,28,TSG 1899 Hoffenheim,83,84,1.8796,Germany
199,I. Gueye,28,Everton,83,83,1.7526,Senegal
200,H. Mkhitaryan,29,Arsenal,83,83,1.778,Armenia
201,Marcos Alonso,27,Chelsea,83,84,1.8796,Spain
202,D. Subašić,33,AS Monaco,83,83,1.905,Croatia
203,K. Glik,30,AS Monaco,83,83,1.905,Poland
204,K. Strootman,28,Olympique de Marseille,83,83,1.8542,Netherlands
205,B. Dost,29,Sporting CP,83,83,1.9558,Netherlands
206,Oscar,26,Shanghai SIPG FC,83,84,1.778,Brazil
207,M. Balotelli,27,OGC Nice,83,83,1.8796,Italy
208,Luiz Gustavo,30,Olympique de Marseille,83,83,1.8796,Brazil
209,Giuliano,28,Al Nassr,83,83,1.7272,Brazil
210,David Luiz,31,Chelsea,83,83,1.8796,Brazil
211,R. Fährmann,29,FC Schalke 04,83,84,1.9812,Germany
212,Juan Mata,30,Manchester United,83,83,1.7018,Spain
213,Adán,31,Atlético Madrid,83,83,1.905,Spain
214,Rui Patrício,30,Wolverhampton Wanderers,83,83,1.905,Portugal
215,Y. Sommer,29,Borussia Mönchengladbach,83,84,1.8288,Switzerland
216,Javi Martínez,29,FC Bayern München,83,83,1.9304,Spain
217,L. Bender,29,Bayer 04 Leverkusen,83,83,1.8542,Germany
218,Lucas Leiva,31,Lazio,83,83,1.778,Brazil
219,S. Mandanda,33,Olympique de Marseille,83,83,1.8542,France
220,Cesc Fàbregas,31,Chelsea,83,83,1.778,Spain
221,M. Dembélé,30,Tottenham Hotspur,83,83,1.8542,Belgium
222,F. Ribéry,35,FC Bayern München,83,83,1.7018,France
223,R. Jarstein,33,Hertha BSC,83,83,1.905,Norway
224,D. De Rossi,34,Roma,83,83,1.8288,Italy
225,Pepe Reina,35,Milan,83,83,1.8796,Spain
226,J. Pavlenka,26,SV Werder Bremen,82,85,1.9558,Czech Republic
227,M. de Ligt,18,Ajax,82,91,1.8796,Netherlands
228,Rodri,22,Atlético Madrid,82,87,1.905,Spain
229,Arthur,21,FC Barcelona,82,90,1.7018,Brazil
230,G. Donnarumma,19,Milan,82,93,1.9558,Italy
231,Rosberto Dourado,30,Atlético Mineiro,82,82,1.7526,Brazil
232,Juiano Mestres,34,Cruzeiro,82,82,1.8034,Brazil
233,Raphaelito Anjos,30,Grêmio,82,82,1.905,Brazil
234,Gelson Martins,23,Atlético Madrid,82,87,1.7272,Portugal
235,Gonçalo Guedes,21,Valencia CF,82,86,1.778,Portugal
236,L. Torreira,22,Arsenal,82,87,1.6764,Uruguay
237,Malcom,21,FC Barcelona,82,89,1.7272,Brazil
238,Pau López,23,Real Betis,82,87,1.8796,Spain
239,L. Hernández,22,Atlético Madrid,82,88,1.8288,France
240,C. Lenglet,23,FC Barcelona,82,88,1.8542,France
241,A. Kramarić,27,TSG 1899 Hoffenheim,82,83,1.778,Croatia
242,A. Robertson,24,Liverpool,82,87,1.778,Scotland
243,Dani García,28,Athletic Club de Bilbao,82,83,1.8034,Spain
244,F. Bernardeschi,24,Juventus,82,87,1.8542,Italy
245,J. Brandt,22,Bayer 04 Leverkusen,82,88,1.8542,Germany
246,D. Rugani,23,Juventus,82,86,1.905,Italy
247,Samu Castillejo,23,Milan,82,86,1.8288,Spain
248,João Cancelo,24,Juventus,82,88,1.8288,Portugal
249,A. Romagnoli,23,Milan,82,89,1.8796,Italy
250,T. Partey,25,Atlético Madrid,82,88,1.8542,Ghana
251,Fred,25,Manchester United,82,84,1.7018,Brazil
252,J. Vardy,31,Leicester City,82,82,1.778,England
253,A. Belotti,24,Torino,82,87,1.8034,Italy
254,E. Forsberg,26,RB Leipzig,82,83,1.778,Sweden
255,J. Lingard,25,Manchester United,82,83,1.7526,England
256,F. Vázquez,29,Sevilla FC,82,82,1.8542,Argentina
257,E. Višća,28,Medipol Başakşehir FK,82,82,1.7272,Bosnia Herzegovina
258,A. Rüdiger,25,Chelsea,82,84,1.905,Germany
259,A. Florenzi,27,Roma,82,83,1.7272,Italy
260,H. Maguire,25,Leicester City,82,85,1.9304,England
261,T. Meunier,26,Paris Saint-Germain,82,83,1.905,Belgium
262,S. Sané,27,FC Schalke 04,82,82,1.9558,Senegal
263,G. Kondogbia,25,Valencia CF,82,85,1.8796,Central African Rep.
264,Rafinha,25,FC Barcelona,82,87,1.7526,Brazil
265,Gabriel Paulista,27,Valencia CF,82,83,1.8796,Brazil
266,Morata,25,Chelsea,82,85,1.8796,Spain
267,J. Cillessen,29,FC Barcelona,82,84,1.8542,Netherlands
268,W. Ben Yedder,27,Sevilla FC,82,82,1.7018,France
269,C. Bakambu,27,Beijing Sinobo Guoan FC,82,83,1.8288,DR Congo
270,Pablo Sarabia,26,Sevilla FC,82,83,1.7526,Spain
271,W. Zaha,25,Crystal Palace,82,85,1.8034,Ivory Coast
272,Luis Alberto,25,Lazio,82,85,1.8288,Spain
273,Jonathan Viera,28,Beijing Sinobo Guoan FC,82,82,1.7018,Spain
274,Bartra,27,Real Betis,82,83,1.8288,Spain
275,S. Coates,27,Sporting CP,82,83,1.9558,Uruguay
276,Willian José,26,Real Sociedad,82,83,1.8796,Brazil
277,Mário Fernandes,27,PFC CSKA Moscow,82,82,1.8796,Russia
278,Víctor Ruiz,29,Villarreal CF,82,83,1.8542,Spain
279,T. Delaney,26,Borussia Dortmund,82,83,1.8288,Denmark
280,K. Casteels,26,VfL Wolfsburg,82,85,1.9812,Belgium
281,M. Götze,26,Borussia Dortmund,82,85,1.7526,Germany
282,S. Mustafi,26,Arsenal,82,84,1.8288,Germany
283,J. Pastore,29,Roma,82,82,1.8796,Argentina
284,Pedro,30,Chelsea,82,82,1.7018,Spain
285,G. Bonaventura,28,Milan,82,82,1.8034,Italy
286,R. Bürki,27,Borussia Dortmund,82,85,1.8796,Switzerland
287,Taison,30,Shakhtar Donetsk,82,82,1.7272,Brazil
288,S. Nzonzi,29,Roma,82,82,1.9558,France
289,Marlos,30,Shakhtar Donetsk,82,82,1.7526,Ukraine
290,A. Ramsey,27,Arsenal,82,83,1.8288,Wales
291,K. Trippier,27,Tottenham Hotspur,82,82,1.778,England
292,A. Kolarov,32,Roma,82,82,1.8796,Serbia
293,G. Sigurðsson,28,Everton,82,82,1.8542,Iceland
294,S. Giovinco,31,Toronto FC,82,82,1.6256,Italy
295,M. Arnautović,29,West Ham United,82,82,1.9304,Austria
296,N. Gaitán,30,Dalian YiFang FC,82,82,1.7272,Argentina
297,J. Henderson,28,Liverpool,82,82,1.8288,England
298,M. Kruse,30,SV Werder Bremen,82,82,1.8034,Germany
299,M. Parolo,33,Lazio,82,82,1.8288,Italy
300,L. Fejsa,29,SL Benfica,82,82,1.8288,Serbia
301,A. Rami,32,Olympique de Marseille,82,82,1.905,France
302,V. Ćorluka,32,Lokomotiv Moscow,82,82,1.9304,Croatia
303,G. Wijnaldum,27,Liverpool,82,82,1.7526,Netherlands
304,F. Fazio,31,Roma,82,82,1.9558,Argentina
305,O. Giroud,31,Chelsea,82,82,1.9304,France
306,Marcano,31,Roma,82,82,1.8796,Spain
307,A. Guardado,31,Real Betis,82,82,1.7018,Mexico
308,E. Garay,31,Valencia CF,82,82,1.8796,Argentina
309,Jardel,32,SL Benfica,82,82,1.9304,Brazil
310,S. Sirigu,31,Torino,82,82,1.9304,Italy
311,E. Viviano,32,Sporting CP,82,82,1.9558,Italy
312,L. Koscielny,32,Arsenal,82,82,1.8542,France
313,A. Consigli,31,Sassuolo,82,82,1.8796,Italy
314,L. Biglia,32,Milan,82,82,1.778,Argentina
315,Dani Alves,35,Paris Saint-Germain,82,82,1.7272,Brazil
316,David Villa,36,New York City FC,82,82,1.7526,Spain
317,Aduriz,37,Athletic Club de Bilbao,82,82,1.8288,Spain
318,P. Čech,36,Arsenal,82,82,1.9558,Czech Republic
319,Casillas,37,FC Porto,82,82,1.8542,Spain
320,M. Rashford,20,Manchester United,81,89,1.8542,England
321,Laure Santeiro,30,Fluminense,81,81,1.7018,Brazil
322,L. Bailey,20,Bayer 04 Leverkusen,81,89,1.778,Jamaica
323,M. Akanji,22,Borussia Dortmund,81,87,1.8796,Switzerland
324,F. de Jong,21,Ajax,81,89,1.8034,Netherlands
325,Nélson Semedo,24,FC Barcelona,81,86,1.778,Portugal
326,Pablo Fornals,22,Villarreal CF,81,86,1.778,Spain
327,Fabián,22,Napoli,81,89,1.8796,Spain
328,E. Bailly,24,Manchester United,81,87,1.8542,Ivory Coast
329,Dani Ceballos,21,Real Madrid,81,88,1.778,Spain
330,H. Lozano,22,PSV,81,86,1.7526,Mexico
331,Morales,30,Levante UD,81,81,1.8034,Spain
332,J. Seri,26,Fulham,81,82,1.7018,Ivory Coast
333,M. Politano,24,Inter,81,84,1.7018,Italy
334,M. Brozović,25,Inter,81,84,1.8034,Croatia
335,Williams,24,Athletic Club de Bilbao,81,87,1.8542,Spain
336,A. Correa,23,Atlético Madrid,81,87,1.7018,Argentina
337,A. Christensen,22,Chelsea,81,88,1.8796,Denmark
338,João Mário,25,Inter,81,84,1.778,Portugal
339,T. Strakosha,23,Lazio,81,86,1.9304,Albania
340,E. Hysaj,24,Napoli,81,86,1.8288,Albania
341,P. Zieliński,24,Napoli,81,88,1.8034,Poland
342,Ricardo Pereira,24,Leicester City,81,85,1.7526,Portugal
343,Grimaldo,22,SL Benfica,81,87,1.7018,Spain
344,R. Guerreiro,24,Borussia Dortmund,81,86,1.7018,Portugal
345,A. Doucouré,25,Watford,81,85,1.8288,France
346,J. Martínez,25,Atlanta United,81,84,1.7018,Venezuela
347,C. Bacca,31,Villarreal CF,81,81,1.8034,Colombia
348,A. Plea,25,Borussia Mönchengladbach,81,83,1.8034,France
349,B. Davies,25,Tottenham Hotspur,81,84,1.8288,Wales
350,M. Nastasić,25,FC Schalke 04,81,84,1.8796,Serbia
351,A. Milik,24,Napoli,81,88,1.8542,Poland
352,M. Sabitzer,24,RB Leipzig,81,84,1.778,Austria
353,B. Mendy,23,Manchester City,81,86,1.8542,France
354,C. Kramer,27,Borussia Mönchengladbach,81,82,1.905,Germany
355,S. Vrsaljko,26,Inter,81,84,1.8034,Croatia
356,T. Hazard,25,Borussia Mönchengladbach,81,83,1.7526,Belgium
357,K. Bellarabi,28,Bayer 04 Leverkusen,81,81,1.8288,Germany
358,S. Zaza,27,Torino,81,82,1.8542,Italy
359,F. Ghoulam,27,Napoli,81,82,1.8288,Algeria
360,B. Lecomte,27,Montpellier HSC,81,84,1.8542,France
361,J. Iličić,30,Atalanta,81,81,1.905,Slovenia
362,K. Volland,25,Bayer 04 Leverkusen,81,83,1.778,Germany
363,Paco Alcácer,24,Borussia Dortmund,81,85,1.7526,Spain
364,Vitolo,28,Atlético Madrid,81,81,1.8542,Spain
365,G. Xhaka,25,Arsenal,81,84,1.8542,Switzerland
366,D. Tadić,29,Ajax,81,81,1.8034,Serbia
367,C. Aránguiz,29,Bayer 04 Leverkusen,81,81,1.7018,Chile
368,S. Verdi,25,Napoli,81,81,1.7018,Italy
369,D. Lovren,28,Liverpool,81,82,1.8796,Croatia
370,G. Medel,30,Beşiktaş JK,81,81,1.7018,Chile
371,X. Shaqiri,26,Liverpool,81,81,1.7018,Switzerland
372,J. Corona,25,FC Porto,81,83,1.7272,Mexico
373,A. Areola,25,Paris Saint-Germain,81,85,1.9558,France
374,K. Vogt,26,TSG 1899 Hoffenheim,81,82,1.9304,Germany
375,Ander Herrera,28,Manchester United,81,81,1.8288,Spain
376,E. Salvio,27,SL Benfica,81,81,1.7272,Argentina
377,S. El Shaarawy,25,Roma,81,82,1.778,Italy
378,C. Smalling,28,Manchester United,81,82,1.9304,England
379,Hulk,31,Shanghai SIPG FC,81,81,1.8034,Brazil
380,S. Kagawa,29,Borussia Dortmund,81,81,1.7526,Japan
381,M. Lanzini,25,West Ham United,81,85,1.6764,Argentina
382,F. Smolov,28,Lokomotiv Moscow,81,81,1.8796,Russia
383,L. Stindl,29,Borussia Mönchengladbach,81,81,1.8034,Germany
384,O. Toprak,28,Borussia Dortmund,81,82,1.8542,Turkey
385,D. Perotti,29,Roma,81,81,1.778,Argentina
386,F. Muslera,32,Galatasaray SK,81,81,1.905,Uruguay
387,B. Höwedes,30,Lokomotiv Moscow,81,81,1.8796,Germany
388,S. Kjær,29,Sevilla FC,81,81,1.8796,Denmark
389,S. Bender,29,Bayer 04 Leverkusen,81,81,1.8542,Germany
390,M. Valbuena,33,Fenerbahçe SK,81,81,1.6764,France
391,Pedro León,31,SD Eibar,81,81,1.8288,Spain
392,K. Boateng,31,Sassuolo,81,81,1.8542,Ghana
393,L. Piszczek,33,Borussia Dortmund,81,81,1.8288,Poland
394,A. Candreva,31,Inter,81,81,1.8034,Italy
395,D. Wass,29,Valencia CF,81,81,1.8034,Denmark
396,E. Lamela,26,Tottenham Hotspur,81,82,1.8288,Argentina
397,D. Rose,27,Tottenham Hotspur,81,81,1.7526,England
398,C. Vela,29,Los Angeles FC,81,81,1.778,Mexico
399,Renato Augusto,30,Beijing Sinobo Guoan FC,81,81,1.8542,Brazil
400,A. Valencia,32,Manchester United,81,81,1.8034,Ecuador
401,L. Fabiański,33,West Ham United,81,81,1.905,Poland
402,João Moutinho,31,Wolverhampton Wanderers,81,81,1.7018,Portugal
403,Borja Valero,33,Inter,81,81,1.7526,Spain
404,F. Quagliarella,35,Sampdoria,81,81,1.8034,Italy
405,B. Gomis,32,Al Hilal,81,81,1.8288,France
406,Manuel Fernandes,32,Lokomotiv Moscow,81,81,1.7526,Portugal
407,H. Herrera,28,FC Porto,81,81,1.8288,Mexico
408,Raffael,33,Borussia Mönchengladbach,81,81,1.7526,Brazil
409,Nani,31,Sporting CP,81,81,1.778,Portugal
410,J. Milner,32,Liverpool,81,81,1.7526,England
411,J. Mathieu,34,Sporting CP,81,81,1.8796,France
412,Joaquín,36,Real Betis,81,81,1.778,Spain
413,M. Gómez,21,RC Celta,80,85,1.8542,Uruguay
414,K. Havertz,19,Bayer 04 Leverkusen,80,89,1.8796,Germany
415,T. Ndombele,21,Olympique Lyonnais,80,89,1.8034,France
416,H. Aouar,20,Olympique Lyonnais,80,90,1.7526,France
417,Carlos Soler,21,Valencia CF,80,87,1.8034,Spain
418,Odriozola,22,Real Madrid,80,88,1.7526,Spain
419,M. Almirón,24,Atlanta United,80,84,1.7526,Paraguay
420,Welington Dano,30,Cruzeiro,80,80,1.778,Brazil
421,Everton Andrão,34,Fluminense,80,80,1.778,Brazil
422,Oyarzabal,21,Real Sociedad,80,87,1.8034,Spain
423,F. Balbuena,26,West Ham United,80,83,1.8796,Paraguay
424,M. Marega,27,FC Porto,80,80,1.8542,Mali
425,B. Pavard,22,VfB Stuttgart,80,86,1.8542,France
426,W. Ndidi,21,Leicester City,80,85,1.8288,Nigeria
427,A. Onana,22,Ajax,80,85,1.8796,Cameroon
428,G. Lo Celso,22,Real Betis,80,86,1.7526,Argentina
429,M. Acuña,26,Sporting CP,80,80,1.7272,Argentina
430,Rúben Neves,21,Wolverhampton Wanderers,80,87,1.8034,Portugal
431,Mariano,24,Real Madrid,80,85,1.8034,Dominican Republic
432,Raúl,28,SC Braga,80,80,1.8796,Brazil
433,M. Caldara,24,Milan,80,86,1.8796,Italy
