,Name,Age,Club,OVA,POT,Height,Nationality,BP,PAC,SHO,PAS,DRI,DEF,PHY
139,Y. Touré,35,Olympiacos CFP,80,80,190,Ivory Coast,CM,54,79,79,77,67,77
140,Alan,36,SC Braga,74,74,180,Brazil,CAM,53,73,78,78,41,61
141,Quaresma,36,Vitória Guimarães,79,79,175,Portugal,RM,74,72,81,83,24,62
142,Danny,34,Clube Sport Marítimo,76,76,178,Portugal,CAM,63,69,77,79,41,60
143,Cristiano Ronaldo,35,Juventus,92,92,188,Portugal,ST,89,93,81,89,35,77
145,M. Carrick,35,Manchester United,79,79,188,England,CM,44,65,80,72,74,63
147,R. Cretaro,38,Finn Harps,56,56,165,Republic of Ireland,CF,43,57,55,61,32,40
153,R. Taylor,33,Fleetwood Town,67,67,178,England,CDM,48,62,71,67,68,63
155,D. Pizarro,38,Universidad de Chile,73,73,170,Chile,CM,35,59,80,74,56,46
158,C. Pizarro,40,SV Werder Bremen,74,74,183,Peru,ST,34,76,73,74,37,64
159,R. Santa Cruz,38,Olimpia Asunción,73,73,188,Paraguay,ST,33,74,61,63,36,62
161,R. Márquez,38,Club Atlas,73,73,183,Mexico,CB,31,52,64,61,74,67
166,S. Ono,38,Hokkaido Consadole Sapporo,54,54,175,Japan,CAM,34,53,60,52,39,50
168,S. Nakamura,42,Yokohama FC,65,65,178,Japan,CAM,30,69,74,67,36,51
171,D. Drogba,38,,81,81,188,Ivory Coast,ST,64,82,67,74,36,78
172,K. Källström,34,Djurgårdens IF,77,77,185,Sweden,CM,36,70,82,72,63,73
173,A. Cole,37,Derby County,70,70,175,England,CDM,63,50,69,71,68,68
175,A. Floro Flores,34,Chievo Verona,72,72,183,Italy,CAM,75,71,67,73,30,65
177,K. Beckerman,38,Real Salt Lake,68,68,178,United States,CDM,33,60,62,64,66,67
179,D. Beasley,37,Houston Dynamo,68,68,173,United States,LWB,74,58,64,66,65,64
184,S. Ameobi,35,Notts County,64,64,190,Nigeria,ST,37,63,52,60,36,75
185,Z. Ibrahimović,38,Milan,83,83,196,Sweden,ST,52,88,77,79,34,77
187,B. Cheyrou,36,Toronto FC,68,68,183,France,CDM,43,62,69,69,65,63
190,J. McFadden,33,Motherwell,66,66,178,Scotland,CAM,58,65,67,67,35,63
192,Joaquín,38,Real Betis,80,80,178,Spain,CAM,69,79,83,80,44,57
193,Xabi Alonso,34,FC Bayern München,82,82,183,Spain,CM,33,71,86,74,72,68
194,A. Hleb,35,Krylya Sovetov Samara,74,74,185,Belarus,CAM,65,64,75,76,31,57
195,M. Antonsson,36,FC København,66,66,188,Sweden,CB,34,35,44,43,65,66
196,R. van der Vaart,35,Esbjerg fB,67,67,175,Netherlands,CAM,31,68,75,67,44,46
197,D. Bonera,37,Villarreal CF,75,75,183,Italy,CB,31,38,53,45,78,69
198,M. Brighi,37,Empoli,69,69,178,Italy,CM,52,64,70,67,63,64
201,M. Essien,33,Panathinaikos FC,74,74,178,Ghana,CDM,53,66,71,68,70,77
203,J. Olsson,35,Wigan Athletic,68,68,193,Sweden,CB,33,42,48,45,66,72
204,M. Rosenberg,36,Malmö FF,72,72,183,Sweden,ST,64,71,69,68,38,79
205,C. Samba,33,Aston Villa,71,71,196,Congo,CB,30,48,45,46,72,72
206,E. Moretti,37,Torino,75,75,183,Italy,CB,40,32,50,55,79,61
208,M. Pedersen,37,Tromsø IL,68,68,183,Norway,CM,38,66,72,68,50,60
210,S. Proto,37,Lazio,75,75,183,Belgium,GK,74,71,73,75,47,76
212,Júlio César,37,SL Benfica,80,80,185,Brazil,GK,83,77,62,81,41,77
213,F. Coloccini,38,San Lorenzo de Almagro,71,71,183,Argentina,CB,39,54,58,60,72,67
214,P. Čech,36,Arsenal,81,81,196,Czech Republic,GK,77,82,68,79,37,83
215,A. McGregor,38,Rangers FC,74,74,183,Scotland,GK,74,71,66,79,37,73
217,S. Maloney,33,Scotland,73,73,170,Scotland,CAM,67,68,72,76,38,59
218,K. Boyd,34,Kilmarnock,70,70,185,Scotland,ST,40,72,57,61,31,71
220,O. Deschacht,39,SV Zulte-Waregem,70,70,183,Belgium,CB,35,45,60,52,75,69
222,Fernando Torres,34,Sagan Tosu,77,77,185,Spain,ST,70,76,70,76,32,69
223,T. Motta,34,Paris Saint-Germain,80,80,188,Italy,CDM,29,62,76,67,76,80
224,L. Butelle,37,Angers SCO,73,73,188,France,GK,74,69,62,75,32,74
225,Igor de Camargo,37,KV Mechelen,70,70,188,Belgium,ST,39,71,64,66,50,77
226,J. Poulsen,35,Melbourne Victory,65,65,180,Denmark,CM,40,62,67,62,57,62
227,P. Senderos,33,Houston Dynamo,67,67,188,Switzerland,CB,33,37,45,39,66,76
228,S. Pienaar,34,Sunderland,75,75,170,South Africa,CAM,68,70,77,77,49,61
230,J. Defoe,37,Rangers FC,73,73,170,England,ST,64,78,60,74,26,56
231,D. Bent,33,Burton Albion,70,70,180,England,ST,66,71,52,64,26,58
232,P. Clarke,38,Tranmere Rovers,63,63,183,England,CB,30,42,45,36,63,74
235,J. Cavalli,37,AC Ajaccio,67,67,170,France,CAM,57,60,70,69,48,58
237,P. Crouch,37,Burnley,72,72,201,England,ST,32,73,65,64,35,57
238,B. Myhill,35,West Bromwich Albion,70,70,190,Wales,GK,72,70,69,68,44,69
239,T. Cahill,37,Millwall,70,70,178,Australia,ST,60,73,60,67,48,75
241,H. Opdal,38,SK Brann,65,65,188,Norway,GK,62,63,64,65,41,66
242,A. Le Tallec,34,US Orléans Loiret Football,65,65,185,France,ST,52,66,64,60,37,58
244,P. Evra,36,West Ham United,75,75,175,France,CB,65,51,71,74,76,69
245,F. Balmont,39,Dijon FCO,68,68,168,France,CDM,33,64,70,65,71,54
246,H. Westermann,33,FK Austria Wien,71,71,190,Germany,CB,36,53,55,47,70,74
247,C. Brunt,35,Bristol City,67,67,185,Northern Ireland,CM,47,70,75,65,65,62
248,E. Jakupović,35,Leicester City,66,66,190,Switzerland,GK,66,66,64,65,30,66
249,M. Marić,36,FC Lugano,66,66,188,Switzerland,CB,32,57,49,45,68,73
252,C. Ledesma,34,FC Lugano,71,71,180,Italy,CM,54,65,77,75,61,65
256,Fernando Navarro,35,Deportivo de La Coruña,74,74,178,Spain,CB,58,50,66,66,78,73
257,E. Adebayor,35,Olimpia Asunción,74,74,193,Togo,ST,63,73,63,68,29,71
259,C. Gordon,36,Celtic,71,71,193,Scotland,GK,72,70,56,74,35,70
261,D. De Rossi,35,Boca Juniors,82,82,183,Italy,CB,59,64,73,69,85,77
262,D. Bulman,41,Crawley Town,60,60,175,England,CDM,34,44,56,57,59,74
263,Maxwell,34,Paris Saint-Germain,79,79,175,Brazil,LWB,73,71,79,77,78,74
264,A. Ferdid,33,St. Mirren,63,63,183,England,CB,35,41,49,46,63,67
266,N. de Jong,32,1. FSV Mainz 05,74,74,175,Netherlands,CDM,61,51,66,68,72,77
267,G. O'Neil,35,Bolton Wanderers,67,67,173,England,CM,50,65,69,66,63,62
268,G. Greer,36,Kilmarnock,65,65,193,Scotland,CB,28,26,51,47,65,64
269,P. Mertesacker,32,Arsenal,80,80,198,Germany,CB,26,41,55,47,84,69
270,J. Van Damme,34,Royal Antwerp FC,74,74,190,Belgium,CB,60,60,59,58,70,86
271,J. Bothroyd,38,Hokkaido Consadole Sapporo,65,65,190,England,ST,30,67,61,60,28,70
272,J. McAnuff,38,Leyton Orient,60,60,178,Jamaica,CAM,55,57,60,65,45,51
273,L. Camp,34,Birmingham City,67,67,183,Northern Ireland,GK,65,65,71,67,38,65
274,L. Grant,37,Manchester United,70,70,193,England,GK,70,70,72,69,41,67
276,M. Bloomfield,36,Wycombe Wanderers,64,64,173,England,CM,53,54,63,62,61,68
277,P. Jagielka,37,Sheffield United,72,72,180,England,CB,34,44,54,48,75,63
278,S. Royce,47,Gillingham,48,48,188,England,GK,39,52,53,32,13,61
280,S. Downing,34,Blackburn Rovers,70,70,180,England,RM,61,68,74,71,55,55
281,T. Huddlestone,32,Derby County,71,71,188,England,CDM,36,68,74,61,68,67
282,T. Berni,37,Inter,64,64,185,Italy,GK,64,60,59,66,29,64
283,W. Rooney,34,Derby County,77,77,175,England,CM,53,81,80,76,56,75
284,W. Routledge,35,Swansea City,69,69,170,England,LM,65,64,66,73,40,53
285,K. Commons,32,Celtic,70,70,168,Scotland,CAM,51,72,71,72,31,63
288,M. Ratajczak,38,Hannover 96,63,63,188,Germany,GK,62,64,35,64,44,64
289,T. Kuszczak,36,Birmingham City,69,69,190,Poland,GK,70,64,63,70,36,69
290,R. Green,38,Chelsea,70,70,188,England,GK,70,70,57,71,34,70
291,S. Padoin,35,Ascoli,70,70,178,Italy,CAM,62,63,73,74,71,62
292,K. Stamatopoulos,40,AIK,57,57,188,Canada,GK,57,52,54,56,33,57
293,A. Aquilani,32,UD Las Palmas,75,75,185,Italy,CM,54,70,80,75,60,62
294,S. Pepe,32,Pescara,74,74,175,Italy,CAM,68,70,76,76,58,59
296,R. Jarstein,35,Hertha BSC,77,77,190,Norway,GK,80,73,71,77,43,80
297,C. Burke,36,Kilmarnock,68,68,175,Scotland,RM,69,65,64,71,39,65
298,C. Grindheim,36,FK Haugesund,66,66,178,Norway,CM,34,59,69,66,56,69
299,M. Gurski,41,SpVgg Unterhaching,59,59,188,Germany,GK,53,63,38,57,26,62
300,J. Gillet,41,Standard de Liège,67,67,180,Belgium,GK,64,70,69,64,39,74
301,P. Brożek,36,Wisła Kraków,66,66,180,Poland,ST,38,66,60,64,29,62
302,A. Boruc,40,Legia Warszawa,73,73,193,Poland,GK,73,72,66,71,32,75
303,C. Bovo,35,Lecce,68,68,180,Italy,CB,39,47,50,46,69,65
305,Aduriz,38,Athletic Club de Bilbao,81,81,183,Spain,ST,59,81,65,73,49,75
306,Victor Valdés,34,Middlesbrough,82,82,183,Spain,GK,81,78,75,83,42,84
307,M. Langer,35,FC Schalke 04,65,65,196,Austria,GK,64,62,60,65,32,67
308,Y. Pelé,37,Olympique de Marseille,72,72,196,France,GK,71,72,67,73,39,71
309,H. Altıntop,34,SV Darmstadt 98,74,74,183,Turkey,CM,51,71,76,74,69,69
311,R. Ziegler,34,FC Dallas,69,69,183,Switzerland,CDM,55,63,72,66,70,71
312,S. Lichtsteiner  B,35,FC Augsburg,72,72,183,Switzerland,CB,59,58,69,73,72,72
313,G. McAuley,39,Northern Ireland,70,70,190,Northern Ireland,CB,29,42,49,40,72,63
314,Cani,34,Real Zaragoza,73,73,180,Spain,CAM,63,72,73,73,45,61
316,Jonatan Soriano,34,Girona FC,71,71,180,Spain,CAM,56,74,71,74,32,66
317,M. Rodríguez,39,Newell's Old Boys,74,74,173,Argentina,CAM,67,75,75,75,44,65
318,A. Mannus,38,Shamrock Rovers,66,66,188,Northern Ireland,GK,64,68,62,64,38,67
319,Cifuentes,41,Cádiz CF,73,73,188,Spain,GK,67,74,65,71,46,82
320,Moyá,36,Real Sociedad,78,78,188,Spain,GK,82,72,80,78,39,79
321,Xisco Campos,37,RCD Mallorca,68,68,180,Spain,CB,55,37,54,48,67,61
322,Borja Fernández,37,Real Valladolid CF,69,69,188,Spain,CB,33,61,63,58,70,75
324,Riesgo,36,CD Leganés,71,71,185,Spain,GK,71,73,67,69,55,71
326,Reyes,34,Extremadura UD,71,71,175,Spain,CAM,69,71,71,72,27,59
327,O. Onyewu,35,Philadelphia Union,69,69,196,United States,CB,33,34,37,36,68,81
328,S. Riether,35,FC Schalke 04,69,69,175,Germany,CB,52,54,66,70,73,61
329,L. McCormick,36,Plymouth Argyle,60,60,183,England,GK,55,58,62,53,33,62
330,L. FeeneyB,33,Tranmere Rovers,65,65,183,England,RM,77,57,63,67,53,65
331,C. Kameni,35,Cameroon,73,73,185,Cameroon,GK,75,70,72,75,45,72
332,F. Béria,33,LOSC Lille,73,73,178,France,CDM,72,57,71,69,70,74
333,J. Plašil,36,FC Girondins de Bordeaux,71,71,183,Czech Republic,CM,35,56,75,71,65,51
334,J. Toulalan,33,FC Girondins de Bordeaux,78,78,183,France,CDM,37,45,71,68,75,78
335,J. Mathieu,35,Sporting CP,81,81,188,France,CB,68,65,71,62,83,81
336,A. Emaná,34,Gimnàstic de Tarragona,75,75,180,Cameroon,CAM,67,73,73,76,56,80
338,J. Jones,35,LA Galaxy,73,73,183,United States,CDM,65,68,70,69,69,84
339,David Villa,37,Vissel Kobe,79,79,175,Spain,CF,65,81,73,80,34,67
341,Nino,40,Elche CF,70,70,170,Spain,ST,57,74,63,70,46,55
343,M. Wölfli,36,BSC Young Boys,66,66,185,Switzerland,GK,67,60,68,64,40,65
344,Iraizoz,37,Girona FC,75,75,190,Spain,GK,69,77,74,67,33,85
345,D. Benaglio,35,AS Monaco,74,74,193,Switzerland,GK,71,79,61,71,39,77
347,Rubén Castro,39,FC Cartagena,71,71,170,Spain,CF,70,73,62,75,30,59
350,R. Fanni,38,Montreal Impact,70,70,185,France,CB,52,52,65,66,70,69
351,D. Martin,34,West Ham United,66,66,188,England,GK,66,62,66,65,39,66
352,C. Carrasso,35,Galatasaray SK,79,79,188,France,GK,77,78,76,77,40,78
353,I. Henderson,35,Salford City,66,66,178,England,CF,59,68,63,68,36,69
354,A. Lonergan,35,Liverpool,65,65,193,England,GK,65,62,52,67,41,65
355,K. Touré,35,Celtic,75,75,178,Ivory Coast,CB,63,59,60,55,74,79
356,P. Gori,40,Benevento,62,62,188,Italy,GK,56,58,64,59,35,67
358,J. Makoun,33,Antalyaspor,69,69,173,Cameroon,CDM,65,56,65,65,67,67
359,M. Dawson,36,Nottingham Forest,69,69,188,England,CB,30,33,44,36,71,64
360,Pepe,37,Portugal,81,81,188,Portugal,CB,66,51,60,60,82,85
361,A. Walke,37,FC Red Bull Salzburg,71,71,188,Germany,GK,71,70,75,72,35,69
362,A. Meier,36,Western Sydney Wanderers,70,70,196,Germany,ST,33,75,65,60,45,67
363,C. Schulz,34,SK Sturm Graz,68,68,185,Germany,CB,46,41,60,54,66,70
365,R. Adler,33,1. FSV Mainz 05,78,78,190,Germany,GK,77,76,70,78,28,80
366,M. Rensing,35,Fortuna Düsseldorf,70,70,190,Germany,GK,69,70,64,69,41,71
367,P. Lahm,32,FC Bayern München,88,88,170,Germany,RWB,67,56,82,84,86,64
368,B. Schweinsteiger,34,,75,75,183,Germany,CB,34,69,77,71,72,71
369,R. König,37,FSV Zwickau,63,63,190,Germany,ST,30,68,48,46,37,73
371,S. Whittaker,35,Hibernian,63,63,185,Scotland,CM,51,61,64,64,63,68
372,A. Koné,36,Sivasspor,71,71,180,Ivory Coast,ST,65,74,62,69,37,65
373,M. Borriello,35,SPAL,77,77,185,Italy,ST,60,75,61,71,27,68
374,H. Campagnaro,39,Pescara,69,69,180,Argentina,CB,36,39,52,50,69,69
375,S. Muntari,33,Albacete BP,72,72,178,Ghana,CB,47,70,67,68,71,77
376,B. Yılmaz,34,LOSC Lille,78,78,188,Turkey,ST,80,81,65,69,34,77
377,M. Topal,34,Medipol Başakşehir FK,74,74,188,Turkey,CDM,54,64,62,67,76,73
378,S. Sarıoğlu,32,Göztepe SK,69,69,170,Turkey,RWB,76,58,66,72,63,64
379,H. Kaldırım,30,Medipol Başakşehir FK,75,75,183,Turkey,LB,73,56,68,69,73,72
380,U. Bulut,37,Yeni Malatyaspor,68,68,183,Turkey,ST,49,71,56,58,41,68
381,P. McShane,34,Rochdale,65,65,183,Republic of Ireland,CB,37,37,56,48,64,65
383,J. Hansen,35,FC Midtjylland,75,75,188,Denmark,GK,75,72,77,75,42,76
384,E. Hallfreðsson,36,Iceland,70,70,185,Iceland,CDM,54,62,73,72,70,67
386,A. Hutchinson,37,Beşiktaş JK,76,76,188,Canada,CDM,64,64,73,71,75,77
387,J. Briand,34,FC Girondins de Bordeaux,75,75,183,France,ST,63,75,72,73,46,72
389,S. Brown,35,Celtic,75,75,175,Scotland,CDM,58,61,63,71,73,81
390,M. Chamakh,32,Cardiff City,71,71,185,Morocco,ST,63,74,70,68,50,72
391,S. Sidwell,34,Brighton & Hove Albion,71,71,178,England,CDM,46,69,70,67,70,68
393,A. Lindegaard,36,Helsingborgs IF,67,67,193,Denmark,GK,69,68,68,67,50,64
395,Jefferson,33,Brazil,80,80,188,Brazil,GK,78,79,71,82,43,78
398,Artur Moraes,36,CD Aves,70,70,193,Brazil,GK,71,68,64,69,44,74
399,Felipe Melo,33,Inter,78,78,183,Brazil,CB,69,69,71,73,77,82
402,Fernandinho,35,Manchester City,84,84,178,Brazil,CB,64,72,78,78,85,79
406,Sergio García,35,RCD Espanyol,77,77,175,Spain,CF,68,76,76,79,36,62
408,Alexis,33,Racing Santander,69,69,183,Spain,CB,51,34,57,53,67,74
409,S. Francis,34,Bournemouth,74,74,188,England,CB,51,44,67,64,74,71
411,W. Morgan,36,Leicester City,73,73,185,Jamaica,CB,30,34,41,54,75,72
415,Robinho,34,Sivasspor,77,77,173,Brazil,CAM,73,68,73,84,26,45
417,Lee Dong Gook,41,Jeonbuk Hyundai Motors,69,69,185,Korea Republic,ST,32,77,62,58,29,62
418,Kim Young Kwang,37,Seongnam FC,68,68,183,Korea Republic,GK,62,71,60,68,56,68
419,M. Amelia,34,Vicenza,67,67,190,Italy,GK,66,64,64,67,41,64
420,P. Jones,34,Sheffield Wednesday,61,61,190,England,GK,61,58,61,62,33,61
421,A. Barzagli,37,Juventus,83,83,188,Italy,CB,68,34,56,63,88,72
422,S. Kießling,33,Bayer 04 Leverkusen,75,75,190,Germany,ST,54,76,66,63,44,75
423,D. Baier,35,FC Augsburg,77,77,175,Germany,CDM,52,55,77,75,72,69
424,G. Pazzini,35,Hellas Verona,69,69,180,Italy,ST,51,67,56,68,34,60
425,M. Gobbi,37,Parma,71,71,183,Italy,CB,56,57,68,67,73,65
426,M. Cassani,33,Bari,68,68,183,Italy,CB,62,52,64,60,67,69
427,O. Martins,35,Wuhan Zall,75,75,170,Nigeria,ST,85,74,64,76,37,74
428,G. Pandev,36,Genoa,72,72,183,North Macedonia,CAM,44,74,71,79,37,50
429,G. Samaras,31,Real Zaragoza,69,69,193,Greece,ST,67,67,66,70,23,72
430,P. Odemwingie,34,Rotherham United,69,69,183,Nigeria,ST,68,70,66,71,35,65
431,M. Vorm,35,Tottenham Hotspur,74,74,183,Netherlands,GK,74,72,70,75,54,73
433,G. Johnson,32,Stoke City,73,73,183,England,CDM,69,60,72,74,73,72
434,R. Huth,32,Leicester City,74,74,190,Germany,CB,29,53,47,38,73,79
435,Vágner Love,34,Beşiktaş JK,76,76,170,Brazil,ST,73,76,60,74,38,72
437,J. Lotiès,33,KAS Eupen,66,66,190,France,CB,33,49,50,41,69,64
438,D. Verhulst,30,Sporting Lokeren,69,69,193,Belgium,GK,70,66,65,71,25,70
439,Bruno Alves,38,Parma,72,72,188,Portugal,CB,35,67,64,63,71,79
440,E. Cambiasso,35,Olympiacos CFP,77,77,178,Argentina,CDM,55,71,73,71,74,70
441,J. Barton,33,Burnley,75,75,180,England,CDM,55,68,75,72,69,81
443,J. Milner,34,Liverpool,80,80,175,England,CDM,58,70,82,77,77,77
444,J. Walters,34,Burnley,71,71,183,Republic of Ireland,ST,54,72,69,69,53,69
445,Kaká,35,,80,80,185,Brazil,CAM,62,76,79,78,30,58
446,Diego Tardelli,33,Shandong Luneng TaiShan FC,76,76,178,Brazil,CAM,71,74,73,78,46,67
447,R. Hubník,35,Viktoria Plzeň,72,72,193,Czech Republic,CB,58,53,60,56,70,73
448,R. Brouwers,34,Roda JC Kerkrade,72,72,193,Netherlands,CB,35,46,44,41,75,71
449,G. N'Daw,32,Racing Club de Lens,66,66,190,Senegal,CB,42,56,56,56,65,81
450,A. D'Alessandro,35,River Plate,79,79,175,Argentina,CAM,66,72,82,80,35,58
451,B. Jones,33,Rotherham United,65,65,180,England,RB,53,54,58,63,66,67
452,J. Lescott,33,Sunderland,70,70,188,England,CB,39,51,56,53,69,72
453,D. Fletcher,34,Stoke City,69,69,183,Scotland,CM,44,64,70,65,72,66
454,G. Lux,38,River Plate,72,72,185,Argentina,GK,70,70,74,72,38,70
455,M. López,36,Crotone,68,68,185,Argentina,ST,48,68,62,66,29,65
456,D. Lewington,36,Milton Keynes Dons,65,65,183,England,LB,45,34,63,58,64,76
457,D. Moscardelli,39,Pisa,69,69,185,Italy,CF,42,70,64,76,37,64
458,A. Alcáraz,37,Olimpia Asunción,72,72,188,Paraguay,CB,37,43,49,62,71,75
459,G. Chiellini,35,Juventus,87,87,188,Italy,CB,66,46,58,60,90,79
460,Hugo Almeida,33,AEK Athens,72,72,190,Portugal,ST,53,75,57,57,31,79
464,C. Rodríguez,36,Club Atlético Colón,68,68,168,Argentina,RWB,73,57,65,66,64,71
465,W. Caballero,38,Chelsea,75,75,185,Argentina,GK,74,72,71,74,45,76
466,L. Ponzio,38,River Plate,73,73,175,Argentina,CDM,48,58,69,66,74,72
467,Nani,33,Orlando City SC,80,80,178,Portugal,LW,72,76,79,85,37,67
468,C. Salcido,39,Tiburones Rojos de Veracruz,68,68,175,Mexico,CB,33,56,66,61,66,74
469,D. Lopar,35,Western Sydney Wanderers,67,67,188,Switzerland,GK,67,65,61,67,40,65
470,B. Cesar,37,Chievo Verona,70,70,190,Slovenia,CB,32,27,40,52,70,70
471,D. Nugent,35,Preston North End,66,66,180,England,ST,52,67,58,68,35,57
472,C. Fuchs,34,Leicester City,73,73,188,Austria,CDM,48,67,76,69,75,67
473,J. Stead,37,Harrogate Town,58,58,190,England,ST,42,59,54,53,30,64
474,K. Foley,31,Coventry City,63,63,183,Republic of Ireland,CDM,60,43,62,60,66,69
475,J. Shackell,35,Lincoln City,66,66,193,England,CB,37,39,52,55,65,72
476,A. Hutton,33,Aston Villa,69,69,185,Scotland,CB,65,47,62,66,69,77
477,C. Conway,35,St. Johnstone FC,64,64,170,Scotland,RM,61,61,65,65,48,59
478,F. Marchetti,37,Genoa,71,71,188,Italy,GK,68,70,64,70,52,70
479,V. Kompany,33,RSC Anderlecht,82,82,190,Belgium,CB,50,53,68,63,83,78
481,S. Silva,39,Argentinos Juniors,72,72,183,Uruguay,ST,34,75,62,65,43,78
483,J. Morel,36,FC Lorient,75,75,173,Madagascar,CB,65,44,62,59,75,78
484,G. Loovens,35,Sunderland,66,66,190,Netherlands,CB,33,27,48,47,67,61
485,W. Sneijder,33,OGC Nice,83,83,170,Netherlands,CAM,68,78,86,82,38,57
486,D. Srna,36,Cagliari,78,78,178,Croatia,CM,73,75,85,75,74,71
487,J. Rodríguez,37,Monarcas Morelia,67,67,165,Mexico,CM,38,64,69,65,63,64
488,J. Cáceres,40,Olimpia Asunción,71,71,180,Paraguay,CB,42,36,61,58,70,70
489,Rafael,38,Spezia,73,73,188,Brazil,GK,75,71,63,73,36,74
491,H. Sogahata,40,Kashima Antlers,65,65,188,Japan,GK,64,66,64,65,18,72
492,Y. Endo,40,Gamba Osaka,68,68,178,Japan,CM,30,65,75,66,65,63
493,D. Matsui,39,Yokohama FC,61,61,175,Japan,CAM,33,58,64,66,37,49
494,P. Da Silva,40,Club Libertad,67,67,180,Paraguay,CB,30,35,45,49,66,71
495,G. Ochoa,34,Mexico,79,79,185,Mexico,GK,77,69,75,83,49,79
497,D. Verón,36,Paraguay,73,73,180,Paraguay,CB,52,51,56,59,73,73
498,A. Palacios,35,U.N.A.M.,74,74,183,Mexico,GK,77,73,68,77,55,72
499,A. Mirante,36,Roma,78,78,193,Italy,GK,79,78,65,77,43,79
500,Jô,32,Nagoya Grampus,74,74,193,Brazil,ST,65,72,65,70,28,75
501,A. Gashi,35,Odds BK,61,61,173,Kosovo,CDM,48,53,59,61,58,71
502,A. Baptiste,34,Bolton Wanderers,63,63,180,England,CB,52,38,51,54,63,61
503,R. Wallace,34,St. Mirren,67,67,168,Scotland,CAM,66,65,69,70,51,51
504,D. Marshall,35,Derby County,72,72,190,Scotland,GK,71,69,66,73,49,72
507,R. Klavan,34,Cagliari,74,74,188,Estonia,CB,38,48,63,60,76,63
510,Z. Dedič,35,WSG Tirol,68,68,183,Slovenia,ST,68,72,58,67,35,71
